category,target,country,scoped_to,alias_any,alias_en,alias_nl,alias_de,alias_fr,alias_ru,n_aliases,sitelinks,source,your_decision,your_note
PERSON,Martin Schulz,Germany,Germany,martin schulz,martin schulz,martin schulz,martin schulz,martin schulz,martin schulz; мартин шульц; шульц,2,72.0,wikidata,,
PERSON,Ted Cruz,United States,United States,ted cruz,ted cruz,ted cruz,ted cruz,ted cruz,ted cruz; круз; тед круз,2,70.0,wikidata,,
PERSON,Elizabeth Warren,United States,United States,elizabeth warren,elizabeth warren,elizabeth warren,elizabeth warren,elizabeth warren,elizabeth warren; уоррен; элизабет уоррен,2,69.0,wikidata,,
PERSON,Annalena Baerbock,Germany,Germany,annalena baerbock,annalena baerbock,annalena baerbock,annalena baerbock,annalena baerbock,annalena baerbock; анналена бербок; бербок,2,67.0,wikidata,,
PERSON,Élisabeth Borne,France,France,élisabeth borne,élisabeth borne,élisabeth borne,élisabeth borne,élisabeth borne,élisabeth borne; борн; элизабет борн,2,66.0,wikidata,,
PERSON,Gabriel Attal,France,France,gabriel attal,gabriel attal,gabriel attal,gabriel attal,gabriel attal,gabriel attal; атталь; габриэль атталь,2,64.0,wikidata,,
PERSON,Elio Di Rupo,Belgium,Belgium,elio di rupo,di rupo; elio di rupo,di rupo; elio di rupo,di rupo; elio di rupo,di rupo; elio di rupo,"di rupo; elio di rupo; ди рупо, элио; элио",2,64.0,wikidata,,
PERSON,Gennady Zyuganov,Russia,Russia,gennadi andrejewitsch sjuganow; gennadi zjoeganov; gennady zyuganov; guennadi ziouganov,gennadi andrejewitsch sjuganow; gennadi zjoeganov; gennady zyuganov; guennadi ziouganov,gennadi andrejewitsch sjuganow; gennadi zjoeganov; gennady zyuganov; guennadi ziouganov,gennadi andrejewitsch sjuganow; gennadi zjoeganov; gennady zyuganov; guennadi ziouganov,gennadi andrejewitsch sjuganow; gennadi zjoeganov; gennady zyuganov; guennadi ziouganov,gennadi andrejewitsch sjuganow; gennadi zjoeganov; gennady zyuganov; guennadi ziouganov; геннадий андреевич зюганов; зюганов,5,63.0,wikidata,,
PERSON,Sophie Wilmès,Belgium,Belgium,sophie wilmès,sophie wilmès,sophie wilmès,sophie wilmès,sophie wilmès,sophie wilmès; вильмес; софи вильмес,2,62.0,wikidata,,
PERSON,Chuck Schumer,United States,United States,charles schumer; chuck schumer,charles schumer; chuck schumer,charles schumer; chuck schumer,charles schumer; chuck schumer,charles schumer; chuck schumer,charles schumer; chuck schumer; чака шумера; шумера,3,61.0,wikidata,,
PERSON,Michel Barnier,France,France,michel barnier,michel barnier,michel barnier,michel barnier,michel barnier,michel barnier; барнье; мишель барнье,2,61.0,wikidata,,
PERSON,Valentina Matviyenko,Russia,Russia,valentina matviejenko; valentina matvienko; valentina matviyenko; walentina iwanowna matwijenko,valentina matviejenko; valentina matvienko; valentina matviyenko; walentina iwanowna matwijenko,valentina matviejenko; valentina matvienko; valentina matviyenko; walentina iwanowna matwijenko,valentina matviejenko; valentina matvienko; valentina matviyenko; walentina iwanowna matwijenko,valentina matviejenko; valentina matvienko; valentina matviyenko; walentina iwanowna matwijenko,valentina matviejenko; valentina matvienko; valentina matviyenko; walentina iwanowna matwijenko; валентина ивановна матвиенко; матвиенко,5,61.0,wikidata,,
PERSON,Alice Weidel,Germany,Germany,alice weidel,alice weidel,alice weidel,alice weidel,alice weidel,alice weidel; алиса вайдель; вайдель,2,59.0,wikidata,,
PERSON,Ed Miliband,United Kingdom,United Kingdom,ed miliband,ed miliband,ed miliband,ed miliband,ed miliband,ed miliband; милибэнд; эд милибэнд,2,58.0,wikidata,,
PERSON,Ilhan Omar,United States,United States,ilhan omar,ilhan omar,ilhan omar,ilhan omar,ilhan omar,ilhan omar; ильхан омар; омар,2,57.0,wikidata,,
PERSON,Pete Hegseth,United States,United States,pete hegseth,pete hegseth,pete hegseth,pete hegseth,pete hegseth,pete hegseth; пит хегсет; хегсет,2,57.0,wikidata,,
PERSON,Nick Clegg,United Kingdom,United Kingdom,nick clegg,nick clegg,nick clegg,nick clegg,nick clegg,nick clegg; клегг; ник клегг,2,56.0,wikidata,,
PERSON,Bart De Wever,Belgium,Belgium,bart de wever,bart de wever; de wever,bart de wever; de wever,bart de wever; de wever,bart de wever; de wever,bart de wever; de wever; барт де вевер; вевер,2,56.0,wikidata,,
PERSON,Mike Johnson,United States,United States,mike johnson,mike johnson,mike johnson,mike johnson,mike johnson,mike johnson; джонсон; майк джонсон,2,55.0,wikidata,,
PERSON,Sahra Wagenknecht,Germany,Germany,sahra wagenknecht,sahra wagenknecht,sahra wagenknecht,sahra wagenknecht,sahra wagenknecht,sahra wagenknecht; вагенкнехт; сара вагенкнехт,2,55.0,wikidata,,
PERSON,Sébastien Lecornu,France,France,sébastien lecornu,sébastien lecornu,sébastien lecornu,sébastien lecornu,sébastien lecornu,sébastien lecornu; лекорню; себастьен лекорню,2,54.0,wikidata,,
PERSON,Robert F. Kennedy Jr.,United States,United States,robert f. kennedy jr.; robert francis kennedy junior,junior; kennedy; robert f. kennedy jr.; robert francis kennedy junior,junior; kennedy; robert f. kennedy jr.; robert francis kennedy junior,junior; kennedy; robert f. kennedy jr.; robert francis kennedy junior,junior; kennedy; robert f. kennedy jr.; robert francis kennedy junior,"(младший); junior; kennedy; robert f. kennedy jr.; robert francis kennedy junior; кеннеди, роберт фрэнсис (младший)",3,52.0,wikidata,,"also just surnames can be used, usually no full names are written"
PERSON,Kemi Badenoch,United Kingdom,United Kingdom,kemi badenoch,kemi badenoch,kemi badenoch,kemi badenoch,kemi badenoch,kemi badenoch; баденок; кеми баденок,2,50.0,wikidata,,
PERSON,Armin Laschet,Germany,Germany,armin laschet,armin laschet,armin laschet,armin laschet,armin laschet,armin laschet; армин лашет; лашет,2,49.0,wikidata,,
PERSON,Priti Patel,United Kingdom,United Kingdom,priti patel,priti patel,priti patel,priti patel,priti patel,priti patel; пател; прити пател,2,48.0,wikidata,,
PERSON,Christian Lindner,Germany,Germany,christian lindner,christian lindner,christian lindner,christian lindner,christian lindner,christian lindner; кристиан линднер; линднер,2,47.0,wikidata,,
PERSON,Elvira Nabiullina,Russia,Russia,elvira nabioullina; elvira nabiullina; elwira sachipsadowna nabiullina,elvira nabioullina; elvira nabiullina; elwira sachipsadowna nabiullina,elvira nabioullina; elvira nabiullina; elwira sachipsadowna nabiullina,elvira nabioullina; elvira nabiullina; elwira sachipsadowna nabiullina,elvira nabioullina; elvira nabiullina; elwira sachipsadowna nabiullina,elvira nabioullina; elvira nabiullina; elwira sachipsadowna nabiullina; набиуллина; эльвира сахипзадовна набиуллина,4,46.0,wikidata,,
PERSON,Michael Gove,United Kingdom,United Kingdom,michael gove,michael gove,michael gove,michael gove,michael gove,michael gove; гоув; майкл гоув,2,45.0,wikidata,,
PERSON,François Asselineau,France,France,françois asselineau,françois asselineau,françois asselineau,françois asselineau,françois asselineau,françois asselineau; асэлино; франсуа асэлино,2,45.0,wikidata,,
PERSON,Rachida Dati,France,France,rachida dati,rachida dati,rachida dati,rachida dati,rachida dati,rachida dati; дати; рашида дати,2,45.0,wikidata,,
PERSON,Rashida Tlaib,United States,United States,rashida tlaib,rashida tlaib,rashida tlaib,rashida tlaib,rashida tlaib,rashida tlaib; рашида тлаиб; тлаиб,2,44.0,wikidata,,
PERSON,Sajid Javid,United Kingdom,United Kingdom,sajid javid,sajid javid,sajid javid,sajid javid,sajid javid,sajid javid; джавид; саджид джавид,2,43.0,wikidata,,
PERSON,Markus Söder,Germany,Germany,markus söder,markus söder,markus söder,markus söder,markus söder,markus söder; зёдер; маркус зёдер,2,43.0,wikidata,,
PERSON,Vyacheslav Volodin,Russia,Russia,viatcheslav volodine; vjatsjeslav viktorovitsj volodin; vyacheslav volodin; wjatscheslaw wolodin,viatcheslav volodine; vjatsjeslav viktorovitsj volodin; vyacheslav volodin; wjatscheslaw wolodin,viatcheslav volodine; vjatsjeslav viktorovitsj volodin; vyacheslav volodin; wjatscheslaw wolodin,viatcheslav volodine; vjatsjeslav viktorovitsj volodin; vyacheslav volodin; wjatscheslaw wolodin,viatcheslav volodine; vjatsjeslav viktorovitsj volodin; vyacheslav volodin; wjatscheslaw wolodin,viatcheslav volodine; vjatsjeslav viktorovitsj volodin; vyacheslav volodin; wjatscheslaw wolodin; володин; вячеслав викторович володин,5,43.0,wikidata,,
PERSON,Angela Rayner,United Kingdom,United Kingdom,angela rayner,angela rayner,angela rayner,angela rayner,angela rayner,angela rayner; анджела рэйнер; рэйнер,2,42.0,wikidata,,
PERSON,Anatoly Chubais,Russia,Russia,anatoli borissowitsch tschubais; anatoli tchoubaïs; anatoli tsjoebajs; anatoly chubais,anatoli borissowitsch tschubais; anatoli tchoubaïs; anatoli tsjoebajs; anatoly chubais,anatoli borissowitsch tschubais; anatoli tchoubaïs; anatoli tsjoebajs; anatoly chubais,anatoli borissowitsch tschubais; anatoli tchoubaïs; anatoli tsjoebajs; anatoly chubais,anatoli borissowitsch tschubais; anatoli tchoubaïs; anatoli tsjoebajs; anatoly chubais,anatoli borissowitsch tschubais; anatoli tchoubaïs; anatoli tsjoebajs; anatoly chubais; анатолий борисович чубайс; чубайс,5,42.0,wikidata,,
PERSON,Gregor Gysi,Germany,Germany,gregor gysi,gregor gysi,gregor gysi,gregor gysi,gregor gysi,gregor gysi; гизи; грегор гизи,2,40.0,wikidata,,
PERSON,Sergei Mironov,Russia,Russia,sergei michailowitsch mironow; sergei mironov; sergej mironov; sergueï mironov,sergei michailowitsch mironow; sergei mironov; sergej mironov; sergueï mironov,sergei michailowitsch mironow; sergei mironov; sergej mironov; sergueï mironov,sergei michailowitsch mironow; sergei mironov; sergej mironov; sergueï mironov,sergei michailowitsch mironow; sergei mironov; sergej mironov; sergueï mironov,sergei michailowitsch mironow; sergei mironov; sergej mironov; sergueï mironov; миронов; сергей михайлович миронов,5,37.0,wikidata,,
PERSON,Boris Pistorius,Germany,Germany,boris pistorius,boris pistorius,boris pistorius,boris pistorius,boris pistorius,boris pistorius; борис писториус; писториус,2,36.0,wikidata,,
PERSON,Alexander Gauland,Germany,Germany,alexander gauland,alexander gauland,alexander gauland,alexander gauland,alexander gauland,alexander gauland; александр гауланд; гауланд,2,35.0,wikidata,,
PERSON,Gérald Darmanin,France,France,gérald darmanin,gérald darmanin,gérald darmanin,gérald darmanin,gérald darmanin,gérald darmanin; дарманен; жеральд дарманен,2,34.0,wikidata,,
PERSON,Bodo Ramelow,Germany,Germany,bodo ramelow,bodo ramelow,bodo ramelow,bodo ramelow,bodo ramelow,bodo ramelow; бодо рамелов; рамелов,2,34.0,wikidata,,
PERSON,Jens Spahn,Germany,Germany,jens spahn,jens spahn,jens spahn,jens spahn,jens spahn,jens spahn; йенс шпан; шпан,2,33.0,wikidata,,
PERSON,Alexei Kudrin,Russia,Russia,alexei kudrin; alexei leonidowitsch kudrin; alexeï koudrine,alexei kudrin; alexei leonidowitsch kudrin; alexeï koudrine,alexei kudrin; alexei leonidowitsch kudrin; alexeï koudrine,alexei kudrin; alexei leonidowitsch kudrin; alexeï koudrine,alexei kudrin; alexei leonidowitsch kudrin; alexeï koudrine,alexei kudrin; alexei leonidowitsch kudrin; alexeï koudrine; алексей леонидович кудрин; кудрин,4,31.0,wikidata,,
PERSON,Petra De Sutter,Belgium,Belgium,petra de sutter,de sutter; petra de sutter,de sutter; petra de sutter,de sutter; petra de sutter,de sutter; petra de sutter,de sutter; petra de sutter; петра де суттер; суттер,2,30.0,wikidata,,
PERSON,Dilan Yeşilgöz-Zegerius,Netherlands,Netherlands,dilan yeşilgöz; dilan yeşilgöz-zegerius,dilan yeşilgöz; dilan yeşilgöz-zegerius,dilan yeşilgöz; dilan yeşilgöz-zegerius,dilan yeşilgöz; dilan yeşilgöz-zegerius,dilan yeşilgöz; dilan yeşilgöz-zegerius,dilan yeşilgöz; dilan yeşilgöz-zegerius; дилан йешилгёз-зегериус; йешилгёз-зегериус,3,30.0,wikidata,,
PERSON,Nancy Faeser,Germany,Germany,nancy faeser,nancy faeser,nancy faeser,nancy faeser,nancy faeser,nancy faeser; нэнси фезер; фезер,2,29.0,wikidata,,
PERSON,Karl Lauterbach,Germany,Germany,karl lauterbach,karl lauterbach,karl lauterbach,karl lauterbach,karl lauterbach,karl lauterbach; карл лаутербах; лаутербах,2,27.0,wikidata,,
PERSON,Heidi Reichinnek,Germany,Germany,heidi reichinnek,heidi reichinnek,heidi reichinnek,heidi reichinnek,heidi reichinnek,heidi reichinnek; райхиннек; хайди райхиннек,2,25.0,wikidata,,
PERSON,Yannick Jadot,France,France,yannick jadot,yannick jadot,yannick jadot,yannick jadot,yannick jadot,yannick jadot; жадо; янник жадо,2,24.0,wikidata,,
PERSON,Jean-Pierre Chevènement,France,France,jean-pierre chevènement,jean-pierre chevènement,jean-pierre chevènement,jean-pierre chevènement,jean-pierre chevènement,jean-pierre chevènement; жан-пьер шевенман; шевенман,2,24.0,wikidata,,
PERSON,Bruno Retailleau,France,France,bruno retailleau,bruno retailleau,bruno retailleau,bruno retailleau,bruno retailleau,bruno retailleau; брюно ретайо; ретайо,2,22.0,wikidata,,
PERSON,Laurent Wauquiez,France,France,laurent wauquiez,laurent wauquiez,laurent wauquiez,laurent wauquiez,laurent wauquiez,laurent wauquiez; вокье; лоран вокье,2,20.0,wikidata,,
PERSON,Jan Jambon,Belgium,Belgium,jan jambon,jan jambon,jan jambon,jan jambon,jan jambon,jan jambon; ямбон; ян ямбон,2,17.0,wikidata,,
PERSON,Zuhal Demir,Belgium,Belgium,zuhal demir,zuhal demir,zuhal demir,zuhal demir,zuhal demir,zuhal demir,1,17.0,wikidata,,
PERSON,Maxime Prévot,Belgium,Belgium,maxime prévot,maxime prévot,maxime prévot,maxime prévot,maxime prévot,maxime prévot; максим прево; прево,2,16.0,wikidata,,
PERSON,Theo Francken,Belgium,Belgium,theo francken,theo francken,theo francken,theo francken,theo francken,theo francken; тео франкен; франкен,2,16.0,wikidata,,
PERSON,Tom Van Grieken,Belgium,Belgium,tom van grieken,tom van grieken; van grieken,tom van grieken; van grieken,tom van grieken; van grieken,tom van grieken; van grieken,tom van grieken; van grieken,1,15.0,wikidata,,
PERSON,Frank Vandenbroucke,Belgium,Belgium,frank vandenbroucke,frank vandenbroucke,frank vandenbroucke,frank vandenbroucke,frank vandenbroucke,frank vandenbroucke; вандербруке; франк вандербруке,2,13.0,wikidata,,
PERSON,Jean-Marie Dedecker,Belgium,Belgium,jean-marie dedecker,jean-marie dedecker,jean-marie dedecker,jean-marie dedecker,jean-marie dedecker,jean-marie dedecker,1,13.0,wikidata,,
PERSON,Gerolf Annemans,Belgium,Belgium,gerolf annemans,gerolf annemans,gerolf annemans,gerolf annemans,gerolf annemans,gerolf annemans,1,13.0,wikidata,,
PERSON,Sophie Hermans,Netherlands,Netherlands,sophie hermans,sophie hermans,sophie hermans,sophie hermans,sophie hermans,sophie hermans; софи херманс; херманс,2,12.0,wikidata,,
PERSON,Pieter Heerma,Netherlands,Netherlands,pieter heerma,pieter heerma,pieter heerma,pieter heerma,pieter heerma,pieter heerma; питер хеерма; хеерма,2,11.0,wikidata,,
PERSON,Sjoerd Sjoerdsma,Netherlands,Netherlands,sjoerd sjoerdsma,sjoerd sjoerdsma,sjoerd sjoerdsma,sjoerd sjoerdsma,sjoerd sjoerdsma,sjoerd sjoerdsma; сьёрд сьёрдсма; сьёрдсма,2,11.0,wikidata,,
PERSON,Hans Vijlbrief,Netherlands,Netherlands,hans vijlbrief,hans vijlbrief,hans vijlbrief,hans vijlbrief,hans vijlbrief,hans vijlbrief; вейлбриф; ханс вейлбриф,2,8.0,wikidata,,
PERSON,Eelco Heinen,Netherlands,Netherlands,eelco heinen,eelco heinen,eelco heinen,eelco heinen,eelco heinen,eelco heinen; хейнен; элко хейнен,2,7.0,wikidata,,
PERSON,Joe Biden,,,biden,biden,biden,biden,biden,biden; байден,2,,hand,,
PERSON,Volodymyr Zelensky,,,zelenskiy; zelensky; zelenskyy,zelenskiy; zelensky; zelenskyy,zelenskiy; zelensky; zelenskyy,zelenskiy; zelensky; zelenskyy,zelenskiy; zelensky; zelenskyy,zelenskiy; zelensky; zelenskyy; зеленский; зеленський,5,,hand,,
PERSON,Emmanuel Macron,,,macron,macron,macron,macron,macron,macron; макрон,2,,hand,,
PERSON,Robert Habeck,,,habeck,habeck,habeck,habeck,habeck,habeck,1,,hand,,
PERSON,Geert Wilders,,,wilders,wilders,wilders,wilders,wilders,wilders,1,,hand,,
PERSON,Benjamin Netanyahu,,,netanyahu,netanyahu,netanyahu,netanyahu,netanyahu,netanyahu; нетаньяху,2,,hand,,
PERSON,Xi Jinping,,,xi jinping,jinping; xi jinping,jinping; xi jinping,jinping; xi jinping,jinping; xi jinping,jinping; xi jinping; си цзиньпин; цзиньпин,2,,hand,,
PERSON,Bashar al-Assad,gold,gold,assad,al-assad; assad,al-assad; assad,al-assad; assad,al-assad; assad,al-assad; assad; асад; башар асад,3,,gold,,
PERSON,Markus Lanz,gold,gold,lanz; markus lanz,lanz; markus lanz,lanz; markus lanz,lanz; markus lanz,lanz; markus lanz,lanz; markus lanz,2,,gold,,
PERSON,Rima Hassan,gold,gold,rima hassan,rima hassan,rima hassan,rima hassan,rima hassan,rima hassan,1,,gold,,
PERSON,Acid (Nathan Vandergunst),gold,gold,acid; nathan vandergunst,acid; nathan vandergunst; vandergunst; vandergunst),acid; nathan vandergunst; vandergunst; vandergunst),acid; nathan vandergunst; vandergunst; vandergunst),acid; nathan vandergunst; vandergunst; vandergunst),acid; nathan vandergunst; vandergunst; vandergunst),2,,gold,,
PERSON,Tino Chrupalla,gold,gold,chrupalla,chrupalla,chrupalla,chrupalla,chrupalla,chrupalla,1,,gold,,
SOCIAL_ISSUE,Existence of God,,any,,existence of god; god; religion,bestaan van god; god,gott; gottesbeweis,dieu; existence de dieu,бог; существование бога,11,,debate+general,,
SOCIAL_ISSUE,Same-sex marriage,,any,,gay marriage; marriage equality; same-sex marriage,homohuwelijk,gleichgeschlechtliche ehe; homo-ehe,mariage gay; mariage pour tous,однополые браки,9,,debate+general,,
SOCIAL_ISSUE,Capitalism,,any,,capitalism; capitalist,kapitalisme,kapitalismus,capitalisme,капитализм,6,,debate+general,,
SOCIAL_ISSUE,Communism / socialism,,any,,communism; communist; socialism; socialist,communisme; socialisme,kommunismus; sozialismus,communisme; socialisme,коммунизм; социализм,12,,debate+general,,
SOCIAL_ISSUE,Euthanasia,,any,,assisted dying; euthanasia,euthanasie,sterbehilfe,euthanasie,эвтаназия,6,,debate+general,,
SOCIAL_ISSUE,Vegetarianism,,any,,vegan; veganism; vegetarianism,veganisme; vegetarisme,veganismus; vegetarismus,véganisme; végétarisme,вегетарианство,10,,debate+general,,
SOCIAL_ISSUE,Animal testing,,any,,animal experiments; animal testing,dierproeven,tierversuche,expérimentation animale,опыты на животных,6,,debate+general,,
SOCIAL_ISSUE,Affirmative action,,any,,affirmative action; positive discrimination,positieve discriminatie,positive diskriminierung,discrimination positive,позитивная дискриминация,6,,debate+general,,
SOCIAL_ISSUE,IVF / reproductive technology,,any,,in vitro fertilisation; ivf,ivf; reageerbuisbevruchting,künstliche befruchtung,fiv; procréation assistée,эко; экстракорпоральное оплодотворение,9,,debate+general,,
SOCIAL_ISSUE,School uniforms,,any,,school uniforms,schooluniform,schuluniform,uniforme scolaire,школьная форма,5,,debate+general,,
SOCIAL_ISSUE,Withdrawal from Iraq,,any,,iraq war; withdrawing from iraq,irakoorlog,irakkrieg,guerre en irak,война в ираке; вывод войск из ирака,7,,debate+general,,
SOCIAL_ISSUE,Government / the state,,any,,government; the government; the state,de regering; overheid,der staat; die regierung,l'état; le gouvernement,власть; государство; правительство,12,,debate+general,,
SOCIAL_ISSUE,Taxation,,any,,tax; taxation; taxes,belastingen,steuern,impôts,налоги,7,,debate+general,,
SOCIAL_ISSUE,Corruption,,any,,corrupt; corruption,corruptie,korruption,corruption,коррупция,6,,debate+general,,
SOCIAL_ISSUE,Elections,,any,,elections; the election,verkiezingen,wahlen,élections,выборы,7,,debate+general,,
SOCIAL_ISSUE,Educational system,,any,,education; schools,onderwijs; scholen,bildung; schulen,écoles; éducation,образование; школы,10,,debate+general,,
SOCIAL_ISSUE,Cost of living,,any,,cost of living; prices,koopkracht; kosten van levensonderhoud,lebenshaltungskosten,coût de la vie; pouvoir d'achat,инфляция; стоимость жизни; цены,10,,debate+general,,
PERSON,Nigel Farage,United Kingdom,United Kingdom,nigel farage; farage,farage; nigel farage,farage; nigel farage,farage; nigel farage,farage; nigel farage,farage; nigel farage; фарадж,3,,hand,,
PERSON,Alexei Navalny,Russia,Russia,,alexei navalny; alexey navalny; navalny,aleksej navalny; navalny,alexei nawalny; nawalny,alexeï navalny; navalny,алексей навальный; навального; навальному; навальный,13,,hand,,
PERSON,Yulia Navalnaya,Russia,Russia,,navalnaya; yulia navalnaya,joelia navalnaja; navalnaja,julia nawalnaja; nawalnaja,ioulia navalnaïa; navalnaïa,навальная; навальной; юлия навальная,11,,hand,,
PERSON,Ilya Yashin,Russia,Russia,,ilya yashin; yashin,ilja jasjin; jasjin,ilja jaschin; jaschin,iachine; ilia iachine,илья яшин; яшин; яшина,11,,hand,,
PERSON,Vladimir Kara-Murza,Russia,Russia,,kara murza; kara-murza; murza; vladimir kara-murza,kara-moerza,kara-mursa,kara-mourza,владимир кара-мурза; кара-мурза; кара-мурзу,9,,hand,,
ORGANISATION,Reuzegom,Belgium,Belgium,reuzegom,reuzegom,reuzegom; reuzegommer; reuzegommers; reuzegomzaak,reuzegom,reuzegom,reuzegom,4,,hand,,
ORGANISATION,International community,,any,,international community; the world community,internationale gemeenschap,internationale gemeinschaft,communauté internationale,мировое сообщество; международное сообщество,6,,gold,,
SOCIAL_ISSUE,Alcohol warning labels,,any,,health warning; warning label; warning on the bottle,etiket; gezondheidswaarschuwing; label; opschrift; sensibilisering; vermelding; waarschuwing; waarschuwingslabel,warnetikett; warnhinweis; warnung auf,avertissement sanitaire; message sanitaire; étiquette d'avertissement,предупреждающая этикетка; предупреждение на этикетке,19,,hand,,
SOCIAL_ISSUE,Alcohol advertising,,any,,alcohol ads; alcohol advertising; drinks advertising,alcoholreclame; publiciteit; reclame; reclamecampagne; sponsering; sponsoring,alkoholwerbung; werbung für alkohol,publicité alcool; publicité pour l'alcool,алкогольная реклама; реклама алкоголя,15,,hand,,
SOCIAL_ISSUE,Alcohol ban,,any,,alcohol ban; prohibition,alcoholverbod; drooglegging,alkoholverbot; prohibition,interdiction de l'alcool; prohibition,запрет алкоголя; сухой закон,10,,hand,,
